Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,References,Sponsors,Conference name,Conference date,Conference location,Conference code,Document Type,Publication Stage,Open Access,Source,EID
"Bertassoni A., Bianchi R., Desbiez A.","","Camera trap individual identification of giant anteaters to estimate population size and viability",2021,"J. Wildl. Mgmt. Wildl. Monogr.",,,,"","",,1,,,,"Bertassoni, A.; Bianchi, R.; Desbiez, A.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85112636670
"Tabak M., Norouzzadeh M.S., Wolfson D., Sweeney S., Vercauteren K., Snow N., Halseth J., Salvo P., Lewis J., White M., Teton B., Beasley J., Schlichting P., Boughton R., Wight B., Newkirk E., Ivan J., Odell E., Brook R., Miller R.","","Machine learning to classify animal species in camera trap images",2019,"BioRxiv",,,,"","",,3,,,,"Tabak, M.; Norouzzadeh, M.S.; Wolfson, D.; Sweeney, S.; Vercauteren, K.; Snow, N.; Halseth, J.; Salvo, P.; Lewis, J.; White, M.; Teton, B.; Beasley, J.; Schlichting, P.; Boughton, R.; Wight, B.; Newkirk, E.; Ivan, J.; Odell, E.; Brook, R.; Miller, R.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85062287084
"Willi M., Pitman R.T., Cardoso A.W., Locke C., Swanson A., Boyer A., Veldthuis M., Fortson L.","","Identifying animal species in camera trap images using deep learning and citizen science",2018,"Methods Ecol. Evol.",,,,"1","12",,4,,,,"Willi, M.; Pitman, R.T.; Cardoso, A.W.; Locke, C.; Swanson, A.; Boyer, A.; Veldthuis, M.; Fortson, L.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85074707667
"Burke C., Rashman M., Wich S., Symons A., Theron C., Longmore S.","","Optimizing observing strategies for monitoring warm-blooded animal species using uav-mounted thermal infrared cameras",2018,"International Journal of Remote Sensing",,,,"","",,1,,,,"Burke, C.; Rashman, M.; Wich, S.; Symons, A.; Theron, C.; Longmore, S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85053452374
"Hoebeke L., Stock M., Van Hoey S., Casaer J., De Baets B.","",[No title available],2018,"Automated recognition of people and identification of animal species in camera trap images. ICEI 2018: 10th International Conference on Ecological Informatics-Translating Ecological Data into Knowledge and Decisions in a Rapidly Changing World",,,,"","",,1,,,,"Hoebeke, L.; Stock, M.; Van Hoey, S.; Casaer, J.; De Baets, B.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85111670408
"Sadegh Norouzzadeh M., Nguyen A.","","Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning",2018,"PNAS June","19","25",,"115","",,1,,,,"Sadegh Norouzzadeh, M.; Nguyen, A.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85087062481
"Tabak M.A., Norouzzadeh M.S., Wolfson D.W., Sweeney S.J., Vercauteren K.C., Snow N.P., Halseth J.M., Di Salvo P.A., Lewis J.S., White M.D., Teton B., Beasley J.C., Schlichting P.E., Boughton R.K., Wight B., Newkirk E.S., Ivan J.S., Odell E.A., Brook R.K., Lukacs P.M., Moeller A.K., Mandeville E.G., Clune J., Miller R.S.","","Machine learning to classify animal species in camera trap images: applications in ecology",2018,"Methods Ecol. Evol.",,,,"1","6",,6,,,,"Tabak, M.A.; Norouzzadeh, M.S.; Wolfson, D.W.; Sweeney, S.J.; Vercauteren, K.C.; Snow, N.P.; Halseth, J.M.; Di Salvo, P.A.; Lewis, J.S.; White, M.D.; Teton, B.; Beasley, J.C.; Schlichting, P.E.; Boughton, R.K.; Wight, B.; Newkirk, E.S.; Ivan, J.S.; Odell, E.A.; Brook, R.K.; Lukacs, P.M.; Moeller, A.K.; Mandeville, E.G.; Clune, J.; Miller, R.S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85063707318
"Sadegh Norouzzadeh M., Nguyen A., Kosmala M., Packer C.","",[No title available],2017,"Automatically Identifying Wild Animals in Camera Trap Images with Deep Learning",,,,"","",,1,,,,"Sadegh Norouzzadeh, M.; Nguyen, A.; Kosmala, M.; Packer, C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85074367513
"Norouzzadeh M.S.","","Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning",2017,"Cornell Univ",,,,"","",,1,,,,"Norouzzadeh, M.S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85093523251
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Palmer M., Packer C., Clune J.","","Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning",2017,"Proceedings of the National Academy of Sciences",,,,"","",,13,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Palmer, M.; Packer, C.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85058327857
"Frey S., Fisher J.T., Burton A.C., Volpe J.P.","","Investigating animal activity patterns and temporal niche partitioning using camera-trap data: challenges and opportunities",2017,"Remote Sens Ecol Conserv","5",,,"272","285",,1,,,,"Frey, S.; Fisher, J.T.; Burton, A.C.; Volpe, J.P.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85105375759
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Palmer M., Packer C.","",[No title available],2017,"Automatically Identifying, Counting, and Describing Wild Animals in Camera-trap Images with Deep Learning","115","25",,"","",,1,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Palmer, M.; Packer, C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85083007280
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Packer C., Clune J.","","Automatically identifying wild animals in camera trap images with deep learning",2017,"Automatically identifying wild animals in camera trap images with deep learning",,,,"","",,13,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Packer, C.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85046301689
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Packer C., Clune J.","",[No title available],2017,"Automatically Identifying Wild Animals in Camera Trap Images with Deep Learning","1703",,,"","",,1,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Packer, C.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85040219590
"Arandjelovic M., Stephens C.R., McCarthy M.S.","",[No title available],2016,"Chimp&See: An Online Citizen Science Platform for Large-Scale, Remote Video Camera Trap Annotation of Chimpanzee Behaviour, Demography and Individual Identification (No. E1792v1)",,,,"","",,1,,,,"Arandjelovic, M.; Stephens, C.R.; McCarthy, M.S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85076443619
"Gomez A., Salazar A., Vargas F.","",[No title available],2016,"Towards Automatic Wild Animal Monitoring: Identification of Animal Species in Camera-Trap Images Using Very Deep Convolutional Neural Networks",,,,"","",,21,,,,"Gomez, A.; Salazar, A.; Vargas, F.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85007132073
"Gómez A., Salazar A., Vargas F.","","Towards automatic wild animal monitoring: identification of animal species in camera-trap images using very deep convolutional neural networks",2016,"CoRR, abs/1603",,,,"06169","",,1,,,,"Gómez, A.; Salazar, A.; Vargas, F.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85052250644
"Bowler M., Tobler M., Endress B., Gilmore M., Anderson M.","","Estimating mammalian species richness and occupancy in tropical forest canopies with arboreal camera traps",2016,"Remote Sensing in Ecology and Conservation",,,,"1","12",,2,,,,"Bowler, M.; Tobler, M.; Endress, B.; Gilmore, M.; Anderson, M.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85029369615
"Gomez A., Salazar A., Vargas F.","","Towards automatic wild animal monitoring: Identification of animal species in camera-trap images using very deep convolutional neural networks",2016,"arXiv preprint arXiv:1603.06169",,,,"","",,1,,,,"Gomez, A.; Salazar, A.; Vargas, F.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85081275733
"Arandjelovic M., Stephens C.R., McCarthy M.S., Dieguez P., Kalan A.K., Maldonado N., Boesch C., Kuehl H.S.","","Chimp&See: An online citizen science platform for large-scale, remote video camera trap annotation of chimpanzee behaviour, demography and individual identification",2016,"PeerJ Preprints","4",,,"","",,2,,,,"Arandjelovic, M.; Stephens, C.R.; McCarthy, M.S.; Dieguez, P.; Kalan, A.K.; Maldonado, N.; Boesch, C.; Kuehl, H.S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85046787448
"Zhou X., Bao Q., Song J.","","Individual identification and behavior study of Eurasian lynx (Lynx lynx) based on camera trapping technique",2015,"J. Biol","32",,,"20","23",,2,,,,"Zhou, X.; Bao, Q.; Song, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85055913164
"Wang B.","",[No title available],2014,"Automatic Animal Species Identification Based on Camera Trapping Data",,,,"","",,1,,,,"Wang, B.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85052951568
"Yu X., Wang J., Kays R., Jansen P.A., Wang T., Huang T.","","Automated identification of animal species in camera trap images",2013,"EURASIP J Image Vide","52",,,"1","10",,2,,,,"Yu, X.; Wang, J.; Kays, R.; Jansen, P.A.; Wang, T.; Huang, T.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85065653930
