Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,References,Sponsors,Conference name,Conference date,Conference location,Conference code,Document Type,Publication Stage,Open Access,Source,EID
"Moreni M., Theau J., Foucher S.","","Train fast while reducing false positives: improving animal classification performance using convolutional neural networks",2021,"Geomatics","1","1",,"34","49",,1,,,,"Moreni, M.; Theau, J.; Foucher, S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85112042098
"Whytock R.C.","","R code to accompany Whytock and Swiezewski et al 2021. Robust ecological analysis of camera trap data labelled by a machine learning model",2021,"Zenodo",,,,"","",,1,,,,"Whytock, R.C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85102293064
"Orbell C., Whytock R.C.","",[No title available],2021,"Datasets for Robust ecological analysis of camera trap data labelled by a machine learning model",,,,"","",,1,,,,"Orbell, C.; Whytock, R.C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85102287817
"Świeżewski J., Whytock R.C.","","Public release for archiving to accompany Whytock & Swiezewski et al 2021. Robust ecological analysis of camera trap data labelled by a machine learning model",2021,"Zenodo",,,,"","",,1,,,,"Świeżewski, J.; Whytock, R.C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85102278581
"Tabak Michael A, Norouzzadeh Mohammad S, Wolfson David W, Newton Erica J, Boughton Raoul K, Ivan Jacob S, Odell Eric A, Newkirk Eric S, Conrey Reesa Y, Stenglein Jennifer L","","Improving the accessibility and transferability of machine learning algorithms for identification of animals in camera trap images: Mlwic2",2020,"bioRxiv","1",,,"","",,1,,,,"Tabak, Michael A; Norouzzadeh, Mohammad S; Wolfson, David W; Newton, Erica J; Boughton, Raoul K; Ivan, Jacob S; Odell, Eric A; Newkirk, Eric S; Conrey, Reesa Y; Stenglein, Jennifer L",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85095019509
"Greenberg Saul","",[No title available],2020,"Automated Image Recognition for Wildlife Camera Traps: Making it Work for You",,,,"","",,1,,,,"Greenberg, Saul",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85107429511
"Shashidhara B.M., Mehta D., Kale Y., Morris D., Hazen M.","",[No title available],2020,"Sequence Information Channel Concatenation for Improving Camera Trap Image Burst Classification",,,,"","",,1,,,,"Shashidhara, B.M.; Mehta, D.; Kale, Y.; Morris, D.; Hazen, M.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85123758783
"Beery S., Liu Y., Morris D., Piavis J., Kapoor A., Meister M., Perona P.","","Synthetic examples improve generalization for rare classes",2019,"Synthetic examples improve generalization for rare classes",,,,"","",,7,,,,"Beery, S.; Liu, Y.; Morris, D.; Piavis, J.; Kapoor, A.; Meister, M.; Perona, P.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85078401240
"Norouzzadeh M.S., Morris D., Beery S., Joshi N., Jojic N., Clune J.","","A deep active learning system for species identification and counting in camera trap images",2019,"CoRR",,,,"","",,1,,,,"Norouzzadeh, M.S.; Morris, D.; Beery, S.; Joshi, N.; Jojic, N.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85115923529
"Beery S., Morris D., Yang S.","",[No title available],2019,"Efficient pipeline for camera trap image review",,,,"","",,9,,,,"Beery, S.; Morris, D.; Yang, S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85090981967
"Yousif H., Kays R., He Z.","",[No title available],2019,"Dynamic programming selection of object proposals for sequence-level animal species classification in the wild",,,,"","",,1,,,,"Yousif, H.; Kays, R.; He, Z.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85090966969
"Norouzzadeh M.S., Morris D., Beery S., Joshi N., Jojic N., Clune J.","",[No title available],2019,"A deep active learning system for species identification and counting in camera trap images",,,,"","",,5,,,,"Norouzzadeh, M.S.; Morris, D.; Beery, S.; Joshi, N.; Jojic, N.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85090963911
"Norouzzadeh Mohammad Sadegh, Morris Dan, Beery Sara, Joshi Neel, Jojic Nebojsa, Clune Jeff","","A deep active learning system for species identification and counting in camera trap images",2019,"Methods in Ecology and Evolution",,,,"","",,1,,,,"Norouzzadeh, Mohammad Sadegh; Morris, Dan; Beery, Sara; Joshi, Neel; Jojic, Nebojsa; Clune, Jeff",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85107391333
"Beery S., Morris D., Yang S.","","Efficient pipeline for camera trap image review",2019,"arXiv [preprint] arXiv",,,,"","",,1,,,,"Beery, S.; Morris, D.; Yang, S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85106670666
"Falzon G., Lawson C., Cheung K.-W., Vernes K., Ballard G., Fleming P., Glen A., Milne H., Mather-Zardain A., Meek P.","","ClassifyMe: a field-scouting software for the identification of wildlife in camera trap images",2019,"bioRxiv",,,,"646737","",,1,,,,"Falzon, G.; Lawson, C.; Cheung, K.-W.; Vernes, K.; Ballard, G.; Fleming, P.; Glen, A.; Milne, H.; Mather-Zardain, A.; Meek, P.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85084346006
"Sadegh Norouzzadeh M., Morris D., Beery S., Joshi N., Jojic N., Clune J.","",[No title available],2019,"A deep active learning system for species identification and counting in camera trap images",,,,"","",,3,,,,"Sadegh Norouzzadeh, M.; Morris, D.; Beery, S.; Joshi, N.; Jojic, N.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85102612257
"Norouzzadeh M.S., Morris D., Beery S., Joshi N., Jojic N., Clune J.","","A deep active learning system for species identification and counting in camera trap images",2019,"arXiv preprint arXiv:1910.09716",,,,"","",,1,,,,"Norouzzadeh, M.S.; Morris, D.; Beery, S.; Joshi, N.; Jojic, N.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85081212187
"Beery S., Morris D., Yang S.","",[No title available],2019,"Efficient Pipeline for Camera Trap Image Review. Arxiv","6772","cs.CV",,"1907","",,1,,,,"Beery, S.; Morris, D.; Yang, S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85101337455
"Willi M., Pitman R.T., Cardoso A.W., Locke C., Swanson A., Boyer A., Veldthuis M., Fortson L.","","Identifying animal species in camera trap images using deep learning and citizen science",2018,"Methods Ecol. Evol.",,,,"1","12",,4,,,,"Willi, M.; Pitman, R.T.; Cardoso, A.W.; Locke, C.; Swanson, A.; Boyer, A.; Veldthuis, M.; Fortson, L.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85074707667
"Beery S., Van Horn G., Perona P.","","Recognition in terra incognita",2018,"arXiv",,,,"","",,1,,,,"Beery, S.; Van Horn, G.; Perona, P.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85092382890
"Schneider S., Taylor G.W., Linquist S., Kremer S.C.","","Past, present and future approaches using computer vision for animal re identification from camera trap data",2018,"Methods Ecol. Evol.",,,,"","",,1,,,,"Schneider, S.; Taylor, G.W.; Linquist, S.; Kremer, S.C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85091915634
"Schneider S., Taylor G.W., Kremer S.C.","",[No title available],2018,"Deep learning object detection methods for ecological camera trap data",,,,"","",,15,,,,"Schneider, S.; Taylor, G.W.; Kremer, S.C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85053505944
"Schneider S., Taylor G.W., Kremer S.","",[No title available],2018,"C. Deep Learning Object Detection Methods for Ecological Camera Trap Data. Arxiv Preprint Arxiv","10842",,,"1803","",,1,,,,"Schneider, S.; Taylor, G.W.; Kremer, S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85108815332
"Sadegh Norouzzadeh M., Nguyen A.","","Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning",2018,"PNAS June","19","25",,"115","",,1,,,,"Sadegh Norouzzadeh, M.; Nguyen, A.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85087062481
"Schneider S., Taylor G.W., Kremer S.C.","","Deep learning object detection methods for ecological camera trap data",2018,"ArXiv",,,,"","",,1,,,,"Schneider, S.; Taylor, G.W.; Kremer, S.C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85107355778
