"","ID","title"
"1",1,"Erratum regarding missing Editorial Disclosure statements in previously published articles (Journal of Asia-Pacific Biodiversity (2020) 13(2) (182–188), (S2287884X20300078), (10.1016/j.japb.2020.01.003))"
"2",2,"Proceedings - Asia-Pacific World Congress on Computer Science and Engineering 2016 and Asia-Pacific World Congress on Engineering 2016, APWC on CSE/APWCE 2016"
"3",3,"Erratum to: Mammalian mesocarnivore visitation at tortoise burrows in a wind farm: Mesocarnivores and Wind Energy Landscapes (The Journal of Wildlife Management, (2017), 81, 6, (1117-1124), 10.1002/jwmg.21262)"
"4",4,"APHIS: A new software for photo-matching in ecological studies"
"5",5,"Erratum: Camera-trap surveys reveal high diversity of mammals and pheasants in Medog, Tibet (ORYX (2020) DOI: 10.1017/S0030605319001467)"
"6",6,"The city changes the daily activity of urban adapters: Camera-traps study of Apodemus agrarius behaviour and new approaches to data analysis"
"7",7,"Relationship between stand types and habitat selections for big wild mammal species"
"8",8,"Habitat use of jaguar (Panthera onca) in a tropical forest in northern Quintana Roo, Mexico"
"9",9,"Unimodal activity pattern in forest-dwelling chamois: typical behaviour or interspecific avoidance?"
"10",10,"Evaluating satellite retrieved fractional snow-covered area at a high-Arctic site using terrestrial photography"
"11",11,"Killing behaviour of adult brood parasites"
"12",12,"Image-Based Classification of Snake Species Using Convolutional Neural Network"
"13",13,"Camera traps on wildlife crossing structures as a tool in gray Wolf (Canis lupus) management - Five-Years monitoring of Wolf abundance trends in Croatia"
"14",14,"Scavenging along an ecological interface: utilization of amphibian and reptile carcasses around isolated wetlands"
"15",15,"Assessing site-use and sources of disturbance at walrus haul-outs using monitoring cameras"
"16",16,"Deep learning approach to classify Tiger beetles of Sri Lanka"
"17",17,"Status and distribution of the striped hyaena, hyaena hyaena, in turkey: An updated assessment (carnivora: Mammalia)"
"18",18,"Manioc losses by terrestrial vertebrates in western Brazilian Amazonia"
"19",19,"Camera trapping of medium and large-sized mammals in western black sea deciduous forests in Turkey"
"20",20,"Habitat-Net: Segmentation of habitat images using deep learning"
"21",21,"The status and distribution of Gazella gazella (Artiodactyla: Mammalia), and other mammals of the Hatay province in southern Turkey"
"22",22,"Drone-Based Cattle Detection Using Deep Neural Networks"
"23",23,"Medium-sized and large mammals of the pine-oak forests and grasslands of the rancho experimental teseachi in chihuahua, mexico"
"24",24,"The prickles of Astrocaryum malybo as a structural defense to avoid seed predation"
"25",25,"Highest bush dog (Speothos venaticus) record for Ecuador with a potential association to a palm tree (Socratea rostrata)"
"26",26,"The role of citizen science and deep learning in camera trapping"
"27",27,"The city changes the daily activity of urban adapters: Camera-traps study of Apodemus agrarius behaviour and new approaches to data analysis"
"28",28,"Sound Event Localization and Detection of Overlapping Sources Using Convolutional Recurrent Neural Networks"
"29",29,"Changes in the social behavior of urban animals: more aggression or tolerance?"
"30",30,"Modelling climatic and temporal influences on boating traffic with relevance to digital camera monitoring of recreational fisheries"
