"","CitingID","CitedID"
"1",4,272
"2",1430,272
"3",1558,272
"4",3020,272
"5",3906,272
"6",5867,272
"7",54,272
"8",145,272
"9",1802,272
"10",2060,272
"11",2210,272
"12",2720,272
"13",3192,272
"14",4203,272
"15",4576,272
"16",4741,272
"17",6085,272
"18",354,272
"19",2374,272
"20",5009,272
"21",417,272
"22",460,272
"23",590,272
"24",870,272
"25",2998,272
"26",5843,272
"27",1350,272
"28",3692,272
"29",1572,272
"30",1614,272
"31",3971,272
"32",1808,272
"33",4208,272
"34",2078,272
"35",4598,272
"36",2178,272
"37",4692,272
"38",2274,272
"39",2556,272
"40",5251,272
"41",2744,272
"42",2970,272
"43",5800,272
"44",539,1954
"45",539,4440
"46",1891,1954
"47",1891,4440
"48",4297,1954
"49",4297,4440
"50",4298,1954
"51",4298,4440
"52",4429,1954
"53",4429,4440
"54",4439,1954
"55",4439,4440
"56",4539,1954
"57",4539,4440
"58",5226,1954
"59",5226,4440
"60",6320,1954
"61",6320,4440
"62",2962,1956
"63",5790,1956
"64",819,2960
"65",819,5789
"66",2457,2960
"67",2457,5789
"68",2664,2960
"69",2664,5789
"70",3118,2960
"71",3118,5789
"72",5397,2960
"73",5397,5789
"74",5998,2960
"75",5998,5789
"76",2574,2960
"77",2574,5789
"78",5276,2960
"79",5276,5789
"80",6342,3361
"81",2014,2046
"82",4518,2046
"83",6094,2046
"84",2829,2829
"85",232,2484
"86",232,5143
"87",687,2484
"88",687,5143
"89",2022,2484
"90",2022,5143
"91",4527,2484
"92",4527,5143
"93",2448,2484
"94",2448,5143
"95",5082,2484
"96",5082,5143
"97",2530,2484
"98",2530,5143
"99",5205,2484
"100",5205,5143
"101",3280,1848
"102",146,192
"103",146,575
"104",429,192
"105",429,575
"106",3783,192
"107",3783,575
"108",5349,192
"109",5349,575
"110",1090,192
"111",1090,575
"112",3199,192
"113",3199,575
"114",1370,192
"115",1370,575
"116",3724,192
"117",3724,575
"118",1455,192
"119",1455,575
"120",5094,192
"121",5094,575
"122",2278,192
"123",2278,575
"124",4858,192
"125",4858,575
"126",2676,192
"127",2676,575
"128",5407,192
"129",5407,575
"130",3062,192
"131",3062,575
"132",5924,192
"133",5924,575
"134",3340,192
"135",3340,575
"136",6264,192
"137",6264,575
"138",4935,192
"139",4935,575
"140",4939,192
"141",4939,575
"142",4976,192
"143",4976,575
"144",5978,192
"145",5978,575
"146",54,3020
"147",54,5867
"148",145,3020
"149",145,5867
"150",2132,3020
"151",2132,5867
"152",4656,3020
"153",4656,5867
"154",6143,3020
"155",6143,5867
"156",3022,3020
"157",3022,5867
"158",5868,3020
"159",5868,5867
"160",6094,3020
"161",6094,5867
"162",5011,944
"163",5011,2813
"164",5171,944
"165",5171,2813
"166",926,2583
"167",2767,2583
"168",699,4681
"169",699,4681
"170",4681,4681
"171",699,4681
"172",699,4681
"173",1580,4681
"174",3924,4681
"175",1580,4681
"176",3924,4681
"177",1580,4681
"178",3924,4681
"179",4681,4681
"180",86,1242
"181",86,3571
"182",245,1242
"183",245,3571
"184",88,1242
"185",88,3571
"186",249,1242
"187",249,3571
"188",108,1242
"189",108,3571
"190",321,1242
"191",321,3571
"192",320,1242
"193",320,3571
"194",951,1242
"195",951,3571
"196",3464,1242
"197",3464,3571
"198",6372,1242
"199",6372,3571
"200",1034,1242
"201",1034,3571
"202",3061,1242
"203",3061,3571
"204",1222,1242
"205",1222,3571
"206",3547,1242
"207",3547,3571
"208",1718,1242
"209",1718,3571
"210",2942,1242
"211",2942,3571
"212",4115,1242
"213",4115,3571
"214",5776,1242
"215",5776,3571
"216",2099,1242
"217",2099,3571
"218",3048,1242
"219",3048,3571
"220",5894,1242
"221",5894,3571
"222",3051,1242
"223",3051,3571
"224",4830,1242
"225",4830,3571
"226",4994,1242
"227",4994,3571
"228",5781,1242
"229",5781,3571
"230",400,1973
"231",1177,1973
"232",3464,1973
"233",6372,1973
"234",402,1973
"235",1179,1973
"236",406,1973
"237",1183,1973
"238",2134,1973
"239",4657,1973
"240",5977,1973
"241",568,1973
"242",1689,1973
"243",1898,1973
"244",2454,1973
"245",3066,1973
"246",4347,1973
"247",4349,1973
"248",5088,1973
"249",5929,1973
"250",1282,1973
"251",3619,1973
"252",1438,1973
"253",3778,1973
"254",1896,1973
"255",4346,1973
"256",2348,1973
"257",4959,1973
"258",4672,1973
"259",5925,1973
"260",6138,1973
"261",26,1034
"262",26,3061
"263",73,1034
"264",73,3061
"265",48,1034
"266",48,3061
"267",129,1034
"268",129,3061
"269",580,1034
"270",580,3061
"271",1721,1034
"272",1721,3061
"273",634,1034
"274",634,3061
"275",1937,1034
"276",1937,3061
"277",636,1034
"278",636,3061
"279",724,1034
"280",724,3061
"281",1774,1034
"282",1774,3061
"283",2102,1034
"284",2102,3061
"285",2173,1034
"286",2173,3061
"287",4160,1034
"288",4160,3061
"289",4624,1034
"290",4624,3061
"291",1096,1034
"292",1096,3061
"293",3227,1034
"294",3227,3061
"295",1098,1034
"296",1098,3061
"297",2258,1034
"298",2258,3061
"299",2708,1034
"300",2708,3061
"301",3216,1034
"302",3216,3061
"303",3233,1034
"304",3233,3061
"305",3464,1034
"306",3464,3061
"307",4825,1034
"308",4825,3061
"309",5458,1034
"310",5458,3061
"311",6131,1034
"312",6131,3061
"313",6372,1034
"314",6372,3061
"315",1500,1034
"316",1500,3061
"317",3841,1034
"318",3841,3061
"319",5940,1034
"320",5940,3061
"321",1885,1034
"322",1885,3061
"323",2230,1034
"324",2230,3061
"325",4771,1034
"326",4771,3061
"327",2664,1034
"328",2664,3061
"329",2666,1034
"330",2666,3061
"331",2846,1034
"332",2846,3061
"333",5397,1034
"334",5397,3061
"335",5398,1034
"336",5398,3061
"337",5675,1034
"338",5675,3061
"339",2706,1034
"340",2706,3061
"341",2820,1034
"342",2820,3061
"343",5634,1034
"344",5634,3061
"345",2870,1034
"346",2870,3061
"347",5690,1034
"348",5690,3061
"349",3452,1034
"350",3452,3061
"351",2499,5228
"352",3468,5228
"353",4,5774
"354",52,3190
"355",52,6084
"356",184,3190
"357",184,6084
"358",270,3190
"359",270,6084
"360",292,3190
"361",292,6084
"362",334,3190
"363",334,6084
"364",1702,3190
"365",1702,6084
"366",2358,3190
"367",2358,6084
"368",2382,3190
"369",2382,6084
"370",2564,3190
"371",2564,6084
"372",3270,3190
"373",3270,6084
"374",5018,3190
"375",5018,6084
"376",6209,3190
"377",6209,6084
"378",354,3190
"379",354,6084
"380",960,3190
"381",960,6084
"382",518,3190
"383",518,6084
"384",730,3190
"385",730,6084
"386",852,3190
"387",852,6084
"388",1469,3190
"389",1469,6084
"390",1894,3190
"391",1894,6084
"392",2946,3190
"393",2946,6084
"394",3124,3190
"395",3124,6084
"396",6001,3190
"397",6001,6084
"398",536,3190
"399",536,6084
"400",686,3190
"401",686,6084
"402",1559,3190
"403",1559,6084
"404",1564,3190
"405",1564,6084
"406",2014,3190
"407",2014,6084
"408",2712,3190
"409",2712,6084
"410",3913,3190
"411",3913,6084
"412",4518,3190
"413",4518,6084
"414",674,3190
"415",674,6084
"416",2065,3190
"417",2065,6084
"418",676,3190
"419",676,6084
"420",2063,3190
"421",2063,6084
"422",728,3190
"423",728,6084
"424",2346,3190
"425",2346,6084
"426",736,3190
"427",736,6084
"428",2702,3190
"429",2702,6084
"430",3068,3190
"431",3068,6084
"432",1084,3190
"433",1084,6084
"434",1162,3190
"435",1162,6084
"436",3421,3190
"437",3421,6084
"438",1086,3190
"439",1086,6084
"440",3193,3190
"441",3193,6084
"442",1096,3190
"443",1096,6084
"444",1776,3190
"445",1776,6084
"446",3227,3190
"447",3227,6084
"448",3428,3190
"449",3428,6084
"450",1598,3190
"451",1598,6084
"452",1772,3190
"453",1772,6084
"454",1774,3190
"455",1774,6084
"456",1956,3190
"457",1956,6084
"458",2644,3190
"459",2644,6084
"460",2742,3190
"461",2742,6084
"462",3000,3190
"463",3000,6084
"464",3024,3190
"465",3024,6084
"466",4159,3190
"467",4159,6084
"468",4160,3190
"469",4160,6084
"470",5507,3190
"471",5507,6084
"472",2124,3190
"473",2124,6084
"474",2226,3190
"475",2226,6084
"476",4765,3190
"477",4765,6084
"478",3164,3190
"479",3164,6084
"480",3194,3190
"481",3194,6084
"482",6086,3190
"483",6086,6084
"484",3213,3953
"485",3882,3953
"486",4996,3953
"487",1124,6269
"488",1375,6269
"489",3319,6269
"490",3627,6269
