PaperID	Author	Title	Source	PubYear	Volume	Issue	StartPage	EndPage	StartYear	EndYear	Months	Areakm2	NumCams	CamDays
2	"Abi-Said, Mounir R.; El Khoury, Jeannette; Makhlouf, Hassane; Amr, Zuhair S."	"Ecology of the Persian Squirrel, Sciurus anomalus, in Horsh Ehden Nature Reserve, Lebanon"	VERTEBRATE ZOOLOGY	2014	64	1	127	135						
3	"Abraha, Essayas Tsegai"	First camera trap record of leopards in Eritrea.	Cat News	2016	64		17	18						
4	"Abrahams, Mark I.; Peres, Carlos A.; Costa, Hugo C. M."	Manioc Losses by Terrestrial Vertebrates in Western Brazilian Amazonia	JOURNAL OF WILDLIFE MANAGEMENT	2018	82	4	734	746	2013	2015	15	8840	132	4211
5	"Abrahams, Mark I.; Peres, Carlos A.; Costa, Hugo C. M."	Measuring local depletion of terrestrial game vertebrates by central-place hunters in rural Amazonia	PLOS ONE	2017	12	10			2013	2015	15	29954		12026
6	"Abrams, Jesse F.; Hoerig, Lisa A.; Brozovic, Robert; Axtner, Jan; Crampton-Platt, Alex; Mohamed, Azlan; Wong, Seth T.; Sollmann, Rahel; Yu, Douglas W.; Wilting, Andreas"	Shifting up a gear with iDNA: From mammal detection events to standardised surveys	JOURNAL OF APPLIED ECOLOGY	2019	56	7	1637	1648	2015	2015	4	555	128	4035
7	"Abu Baker, Mohammad A.; Emerson, Sara E.; Brown, Joel S."	Foraging and habitat use of eastern cottontails (Sylvilagus floridanus) in an urban landscape	URBAN ECOSYSTEMS	2015	18	3	977	987	2010	2010	2	0.0075		
9	"Adila, Nurfatin; Sasidhran, Selvadurai; Kamarudin, Norizah; Puan, Chong Leong; Azhar, Badrul; Lindenmayer, David B."	Effects of peat swamp logging and agricultural expansion on species richness of native mammals in Peninsular Malaysia	BASIC AND APPLIED ECOLOGY	2017	22		1	10	2013	2014	18	813	45	2565
10	"Aditya, Vikram; Ganesh, Thyagarajan"	"Camera trap records of Rusty-spotted Cat Prionailurus rubiginosus and Leopard Cat Prionailurus bengalensis (Mammalia: Carnivora: Felidae) from Papikonda National Park, northern Eastern Ghats, India"	Journal of Threatened Taxa	2016	8	5	8818	8819	2014	2015	6	1012		
11	"Aditya, Vikram; Ganesh, T."	"First camera trap records of Indian Crested Porcupine, Hystrix indica Kerr, 1792 from Papikonda National Park, Andhra Pradesh."	Small Mammal Mail	2015	7	1	4	5	2014	2015	6	1012		
14	"Agha, Mickey; Smith, Amanda L.; Lovich, Jeffrey E.; Delaney, David; Ennen, Joshua R.; Briggs, Jessica; Fleckenstein, Leo J.; Tennant, Laura A.; Puffer, Shellie R.; Walde, Andrew; Arundel, Terence R.; Price, Steven J.; Todd, Brian D."	Mammalian Mesocarnivore Visitation at Tortoise Burrows in a Wind Farm	JOURNAL OF WILDLIFE MANAGEMENT	2017	81	6	1117	1124	2013	2013	6	5.2	46	7968
