,x,group
1,activity pattern,behaviour
2,activity patterns,behaviour
3,animal movement,behaviour
4,anthropogenic disturbance,conservation
5,apex predator,animalType
6,atlantic forest,location
7,biodiversity conservation,conservation
8,biodiversity hotspot,location
9,black bear,species
10,body size,misc
11,camera-trap survey,cameras
12,camera survey,cameras
13,camera trap,cameras
14,camera trap images,cameras
15,camera trap survey,cameras
16,camera trap surveys,cameras
17,camera trapping,cameras
18,camera traps,cameras
19,canis latrans,species
20,canis lupus,species
21,capture-recapture model,captureRecap
22,capture rate,captureRecap
23,climate change,conservation
24,clouded leopard,species
25,clouded leopards,species
26,community composition,population
27,conservation management,conservation
28,conservation planning,conservation
29,cuon alpinus,species
30,daily activity,behaviour
31,daily activity pattern,behaviour
32,daily activity patterns,behaviour
33,density estimate,population
34,density estimates,population
35,density estimation,population
36,detection probability,population
37,detection rate,population
38,diel activity,behaviour
39,domestic dog,species
40,elusive species,animalType
41,endangered species,animalType
42,environmental variables,misc
43,explicit capture-recapture,captureRecap
44,felis catus,species
45,feral cat,species
46,habitat fragmentation,conservation
47,habitat loss,conservation
48,habitat preference,behaviour
49,habitat selection,behaviour
50,habitat use,behaviour
51,home range,behaviour
52,human activity,conservation
53,human disturbance,conservation
54,imperfect detection,survey
55,individual identification,population
56,kernel density,misc
57,land use,location
58,large carnivore,animalType
59,large carnivores,animalType
60,large mammals,animalType
61,leopard cat,species
62,leopard panthera pardus,species
63,leopardus pardalis,species
64,line transect,survey
65,lynx rufus,species
66,mammal community,animalType
67,mammal species,animalType
68,mammalian carnivores,animalType
69,national park,location
70,neofelis nebulosa,species
71,occupancy model,population
72,occupancy modeling,population
73,occupancy modelling,population
74,occupancy models,population
75,odocoileus virginianus,species
76,panthera onca,species
77,panthera pardus,species
78,panthera tigris,species
79,population density,population
80,population dynamics,population
81,population estimate,population
82,population estimates,population
83,population size,population
84,population trend,population
85,population trends,population
86,predation risk,behaviour
87,prey species,animalType
88,protected area,location
89,protected areas,location
90,puma concolor,species
91,random encounter,captureRecap
92,red fox,species
93,relative abundance,population
94,remote camera,cameras
95,remote cameras,cameras
96,sampling design,survey
97,sampling effort,survey
98,small mammal,animalType
99,small mammals,animalType
100,south africa,location
101,south america,location
102,southeast asia,location
103,space use,"behaviour, population"
