"","x"
"1","abundance estimates"
"2","activity overlap"
"3","activity pattern"
"4","activity patterns"
"5","animal movement"
"6","anthropogenic disturbance"
"7","anthropogenic disturbances"
"8","anthropogenic pressure"
"9","apex predator"
"10","apex predators"
"11","atlantic forest"
"12","baited camera"
"13","biodiversity conservation"
"14","biodiversity hotspot"
"15","biodiversity loss"
"16","biosphere reserve"
"17","black bear"
"18","black bears"
"19","body mass"
"20","body size"
"21","brazilian atlantic forest"
"22","brown bear"
"23","camera-trap survey"
"24","camera survey"
"25","camera surveys"
"26","camera trap"
"27","camera trap images"
"28","camera trap survey"
"29","camera trap surveys"
"30","camera trapping"
"31","camera traps"
"32","canis familiaris"
"33","canis latrans"
"34","canis lupus"
"35","canopy cover"
"36","capture-recapture model"
"37","capture-recapture models"
"38","capture rate"
"39","carnivore community"
"40","citizen science"
"41","climate change"
"42","clouded leopard"
"43","clouded leopards"
"44","community composition"
"45","community structure"
"46","conservation management"
"47","conservation planning"
"48","critically endangered"
"49","cryptic species"
"50","cuon alpinus"
"51","daily activity"
"52","daily activity pattern"
"53","daily activity patterns"
"54","data collection"
"55","deciduous forest"
"56","deep learning"
"57","density estimate"
"58","density estimates"
"59","density estimation"
"60","detection probability"
"61","detection rate"
"62","diel activity"
"63","diel activity pattern"
"64","distance sampling"
"65","distribution model"
"66","distribution pattern"
"67","domestic cat"
"68","domestic dog"
"69","domestic dogs"
"70","dry forest"
"71","ecosystem function"
"72","elusive species"
"73","endangered species"
"74","environmental factor"
"75","environmental factors"
"76","environmental variables"
"77","eurasian lynx"
"78","explicit capture-recapture"
"79","felis catus"
"80","feral cat"
"81","feral cats"
"82","forest mammals"
"83","group size"
"84","habitat characteristics"
"85","habitat fragmentation"
"86","habitat loss"
"87","habitat preference"
"88","habitat preferences"
"89","habitat quality"
"90","habitat selection"
"91","habitat suitability"
"92","habitat type"
"93","habitat use"
"94","home range"
"95","human-dominated landscape"
"96","human-wildlife conflict"
"97","human activities"
"98","human activity"
"99","human disturbance"
"100","human impact"
"101","imperfect detection"
"102","individual identification"
"103","interspecific competition"
"104","interspecific interaction"
"105","interspecific interactions"
"106","invasive species"
"107","kernel density"
"108","land cover"
"109","land use"
"110","landscape of"
"111","landscape scale"
"112","large-sized mammals"
"113","large carnivore"
"114","large carnivores"
"115","large mammal"
"116","large mammals"
"117","leopard cat"
"118","leopard panthera pardus"
"119","leopardus pardalis"
"120","line transect"
"121","live trap"
"122","long-term monitoring"
"123","lynx lynx"
"124","lynx rufus"
"125","mammal community"
"126","mammal diversity"
"127","mammal species"
"128","mammalian carnivores"
"129","motion-triggered camera"
"130","multi-species occupancy"
"131","national park"
"132","native species"
"133","nature reserve"
"134","neofelis nebulosa"
"135","neural network"
"136","niche partitioning"
"137","nocturnal activity"
"138","occupancy estimates"
"139","occupancy model"
