"","Title","Best_Match","Similarity"
"1","First camera trap record of leopards in Eritrea.","FIRST CAMERA TRAP RECORD OF NAKED-TAILED ARMADILLO Cabassous centralis (CINGULATA, CHLAMYPHORIDAE) IN CORDOBA DEPARTMENT, COLOMBIA","0.348837209302326"
"2","First camera trap records of Indian Crested Porcupine, Hystrix indica Kerr, 1792 from Papikonda National Park, Andhra Pradesh.","FIRST CAMERA TRAP RECORD OF RED PANDA AILURUS FULGENS (CUVIER, 1825) (MAMMALIA: CARNIVORA: AILURIDAE) FROM KHANGCHENDZONGA, SIKKIM, INDIA","0.264"
"3","First photographic record of endemic brown eared-pheasant Crossoptilon mantchuricum by camera-trapping at Jinhuashan-Henglingzi Hemaji Nature Reserve, China.","First photographic record of marbled cat Pardofelis marmorata Martin, 1837 Mammalia, Carnivora, Felidae) in Nepal","0.275862068965517"
"4","Evaluating the utility of camera traps in field studies of predation","Evaluation of the AHDriFT Camera Trap System to Survey for Small Mammals and Herpetofauna","0.318471337579618"
"5","First camera trap record of caracal kittens in Oman.","FIRST CAMERA TRAP RECORD OF NAKED-TAILED ARMADILLO Cabassous centralis (CINGULATA, CHLAMYPHORIDAE) IN CORDOBA DEPARTMENT, COLOMBIA","0.329545454545455"
"6","First photographic record of twin Arabian leopards in the wild.","First photographic records of bush dogs (Speothos venaticus) from camera-traps in Guyana","0.340136054421769"
"7","Using a trail camera to record the breeding behaviour of Saunders's Tern on Farasan Island, Saudi Arabia.","Pre-eradication assessment of feral cat density and population size across Kangaroo Island, South Australia","0.222222222222222"
"8","ON SUS SCROFA (MAMMALIA: CHIROPTERA) IN TURKEY.","Photography as a low-impact method to survey bats","0.21978021978022"
"9","Further lion, Panthera leo senegalensis Meyer, 1826, sightings in Mole National Park, Ghana, and possible first serval Leptailurus serval Schreber, 1776 record after 39 years (Mammalia Felidae).","CONFIRMATION OF THE PRESENCE OF Leopardus pardalis (Linnaeus 1758) (MAMMALIA: FELIDAE) FOR SAUCE GRANDE SECTOR IN EL ANGOLO GAME RESERVE, PIURA, PERU","0.134556574923547"
"10","POPULATION DENSITY ESTIMATION OF THE EUROPEAN WILDCAT (FELIS SILVESTRIS SILVESTRIS) IN SICILY USING CAMERA TRAPPING.","Wild bongo density estimation and population viability analysis improves conservation management","0.267942583732057"
"11","Survey Captures First-Ever Photos of Endangered Jentink's Duiker in Sierra Leone's Western Area.","Early and efficient detection of an endangered flying squirrel by arboreal camera trapping","0.252747252747253"
"12","Rusty-spotted cat in Katerniaghat Wildlife Sanctuary, Uttar Pradesh State, India.","Using capture-recapture models in wildlife camera-trapping monitoring and the study case","0.184049079754601"
"13","First confirmed record of margay in Tortuguero National Park, Costa Rica.","FIRST CONFIRMED BAND-RUMPED STORM PETREL OCEANODROMA CASTRO COLONY IN THE HAWAIIAN ISLANDS","0.2625"
"14","Relative abundance and activity patterns of terrestrial mammals in Pacuare Nature Reserve, Costa Rica","Relative abundance, and activity patterns of mammals at Chimalapa's forest, Oaxaca, Mexico","0.494623655913978"
"15","Relative abundance and activity patterns of terrestrial mammalian species in Barra del Colorado Wildlife Refuge, Costa Rica","Relative abundance, and activity patterns of mammals at Chimalapa's forest, Oaxaca, Mexico","0.461538461538462"
"16","First record of a marine turtle predated by a jaguar in Pacuare Nature Reserve, Costa Rica.","First record of a melanistic golden jackal (Canis aureus, Canidae) from Turkey","0.341463414634146"
"17","First camera trap photos of leopard in the Galiat Forests of Abbottabad, Pakistan.","First camera trap photographs of Indian Pangolin Manis crassicaudata (Mammalia: Pholidota: Manidae) from Pakistan","0.338624338624339"
"18","A leopard cat with its kittens camera trapped in Annapurna Conservation Area, Nepal.","Improving compliance of recreational fishers with Rockfish Conservation Areas: community-academic partnership to achieve and evaluate conservation","0.20353982300885"
"19","First records of Theobroma speciosum fruits dispersion.","First records of 4 felid species in southern Puebla, Mexico","0.303571428571429"
"20","First picture and temporal activity of rusty-spotted cat from Chhattisgarh, Central India.","First photographic records of bush dogs (Speothos venaticus) from camera-traps in Guyana","0.174418604651163"
"21","UTILIZING A MULTI-TECHNIQUE, MULTI-TAXA APPROACH TO MONITORING WILDLIFE PASSAGEWAYS IN SOUTHERN VERMONT.","Using wildlife indicators to facilitate wildlife monitoring in hunter-self monitoring schemes","0.1875"
"22","The Use of an External Telemetric Device on Varanus olivaceus.","The use of remote cameras for monitoring cage traps during animal trapping","0.222222222222222"
"23","First photographic evidence of snow leopard from Lippa Asrang Wildlife Sanctuary, India.","FIRST PHOTOGRAPHIC EVIDENCE OF INDIAN PANGOLIN MANIS CRASSICAUDATA E. GEOFFROY, 1803 IN MUKUNDARA HILLS TIGER RESERVE (MHTR), RAJASTHAN, INDIA","0.324324324324324"
"24","Highest elevation record of tiger presence from India.","Misidentification error associated with classifications of white-tailed deer images","0.177777777777778"
"25","Annual and spatial variation in composition and activity of terrestrial mammals on two replicate plots in lowland forest of eastern Ecuador","No respect for apex carnivores: Distribution and activity patterns of honey badgers in the Serengeti","0.218487394957983"
"26","Camera-trapping and capture-recapture models for estimating cheetah density.","Spatially explicit capture-recapture analysis of bobcat (Lynx rufus) density: implications for mesocarnivore monitoring","0.319148936170213"
"27","Temporal overlaps of feral cats with prey and competitors in primary and human-altered habitats on Bohol Island, Philippines","Temporal activity of rural free-ranging dogs: implications for the predator and prey species in the Brazilian Atlantic Forest","0.220408163265306"
"28","Initial Assessment on Large and Medium Sized Terrestrial Mammal Assemblage Using Camera Trapping in Nangunhe Nature Reserve in Yunnan, China.","An Adaptive Automatic Approach to Filtering Empty Images from Camera Traps Using a Deep Learning Model","0.182572614107884"
"29","Strategies for biosecurity on a nearshore island in California.","Population density of sitatunga in riverine wetland habitats","0.19672131147541"
"30","Observations of leopard and caracal responses to novel scents in South Africa.","Observations of Chinese pangolins (Manis pentadactyla) in mainland China","0.258503401360544"
"31","An assessment of mammals in Naimina Enkiyio Forest, Kenya","AN ASSESSMENT OF MOOSE AND ELK TRAIN COLLISIONS IN ONTARIO, CANADA","0.330578512396694"
"32","African golden cat and leopard persist in the Dja Faunal Reserve, Cameroon.","Efficacy of lethal-trap devices to improve the welfare of trapped wild dogs","0.231292517006803"
"33","Rediscovery of jaguar in an Atlantic Rainforest area, south-east of Bahia State, Brazil.","Rediscovery of otters on the Tsushima Islands, Japan by trail cameras","0.263157894736842"
"34","A landscape-scale assessment of tropical mammals reveals the effects of habitat and anthropogenic disturbance on community occupancy","Effects of nonlethal tourist activity on the diel activity patterns of mammals in a National Park in Peninsular Malaysia","0.159362549800797"
"35","A camera trap assessment of terrestrial mammals in Machalilla National Park, western Ecuador.","A camera trap assessment of terrestrial vertebrates in Bwindi Impenetrable National Park, Uganda","0.462365591397849"
"36","Estimating recruitment from capture-recapture data by modelling spatio-temporal variation in birth and age-specific survival rates","Estimating animal density without individual recognition using information derivable exclusively from camera traps","0.182572614107884"
"37","Movement, home range size and activity pattern of the golden jackal (Canis aureus, Linneaus, 1758) in Huai Kha Khaeng Wildlife Sanctuary, Thailand.","Distribution, habitat use and activity patterns of nocturnal small carnivores in the North Luangwa Valley, Zambia","0.223107569721116"
"38","PREY SPECIES AND HABITAT USE OF DHOLE (Cuon alpinus) IN SALAKPRA WILDLIFE SANCTUARY.","DISTRIBUTION AND HABITAT USE OF THE ENDANGERED DHOLE CUON ALPINUS (PALLAS, 1811) (MAMMALIA: CANIDAE) IN JIGME DORJI NATIONAL PARK, WESTERN BHUTAN","0.210045662100457"
"39","Jaguar in the Tepalcatepec basin in central-western Michoacan, Mexico","Stress in the zoo: Tracking the impact of stress on memory formation over time","0.236111111111111"
"40","Population Biology and Altitudinal Distribution of Caboti Tragopans in Jiangxi Wuyishan Nature Reserve.","Population density and habitat loss of Chestnut-headed Partridge Arborophila cambodiana in south-west Cambodia","0.266666666666667"
"41","SOME ECOLOGICAL ASPECTS OF SIAMESE CROCODILE (Crocodylus sismensis) IN KHAO ANG RUE NAI WILDLIFE SANCTUARY.","Some ecological aspects of dhole (Cuon alpinus) in the Huai Kha Khaeng Wildlife Sanctuary, Uthai Thani Province, Thailand","0.298642533936652"
"42","Could a bird carcass be part of the feeding habits of a Boat-billed Heron Cochlearius cochlearius (Pelecaniformes: Ardeidae)?","Water Use Patterns of Sympatric Przewalski's Horse and Khulan: Interspecific Comparison Reveals Niche Differences","0.164502164502164"
"43","Non-Panthera cats in Nakai-Nam Theun National Protected Area, Lao PDR.","NONPARENTAL INFANTICIDE IN COLONIAL ELEONORA'S FALCONS (FALCO ELEONORAE)","0.177777777777778"
"44","Modelling Niche Differentiation of Co-Existing, Elusive and Morphologically Similar Species: A Case Study of Four Macaque Species in Nakai-Nam Theun National Protected Area, Laos.","Developing a camera trap survey protocol to detect a rare marsupial carnivore, the spotted-tailed quoll (Dasyurus maculatus)","0.156996587030717"
"45","Status of the African wild dog in the Benoue Complex, North Cameroon.","Stress in the zoo: Tracking the impact of stress on memory formation over time","0.263888888888889"
"46","Effects of human impacts on habitat use, activity patterns and ecological relationships among medium and small felids of the Atlantic Forest","Effects of human land-use on Africa's only forest-dependent fetid: The African golden cat Caracal aurata","0.242677824267782"
"47","Kaaiyana, a jaguar with cubs in the Kaa-Iya del Gran Chaco National Park, Bolivia.","ASSESSMENT OF THE MAMMALIAN DIVERSITY IN MARGALLAH HILLS NATIONAL PARK, ISLAMABAD","0.278481012658228"
"48","Geoffroy's cat in Salta Province, a potentially interesting area for subspecies.","Elephants facilitate impact of large predators on small ungulate prey species","0.181818181818182"
"49","First records of the Ocelot (Leopardus pardalis) in the state of Hidalgo, Mexico","First records of the ocelot Leopardus pardalis (Linneaus, 1758) (Carnivora: Felidae) from Catamarca province, Argentina","0.53968253968254"
"50","National lion action plans and strategies in Benin, Cameroon and Senegal.","Software for minimalistic data management in large camera trap studies","0.226950354609929"
"51","Distribution and status of the manul in the Himalayas and China.","Distribution and abundance of Amur tiger, Amur leopard and their ungulate prey in Hunchun National Nature Reserve, Jilin","0.276243093922652"
"52","Camera trap records of Asiatic golden cat at high altitudes in Bhutan.","CAMERA TRAP RECORDS OF TERRESTRIALITY IN FIVE PERUVIAN PRIMATE COMMUNITIES","0.377622377622378"
"53","Daily activity pattern of reintroduced giant anteaters (Myrmecophaga tridactyla): effects of seasonality and experience","Daily activity patterns and habitat use of the lowland tapir (Tapirus terrestris) in the Atlantic Forest","0.229357798165138"
"54","MATERNITY ROOST OF Eptesicus brasiliensis IN A LIANA IN THE SOUTHEAST PERUVIAN AMAZON","Estimation of the Numbers of the Far Eastern Leopard (Panthera pardus) in Russia","0.184049079754601"
"55","Non-Panthera cats in Southeast Asia: present knowledge and recommendations.","Species richness and relative abundance of large mammals in Emas National Park region","0.178343949044586"
"56","Camera-trap Records of Mountain Tapir in Purace National Park, Colombia.","Camera-trap records of small carnivores from eastern Cambodia, 1999-2013","0.36231884057971"
"57","Asiatic golden cat record from the Kulen-Promtep Wildlife Sanctuary, Cambodia.","Generic Drone Control Platform for Autonomous Capture of Cinema Scenes","0.193103448275862"
"58","Mammal and bird diversity at a salt lick in Kulen-Promtep Wildlife Sanctuary, Northern Cambodia.","Mammal and bird diversity survey using camera traps in the Chebaling National Nature Reserve, Guangdong Province","0.284313725490196"
"59","Small carnivore records from the Oddar Meanchay sector of Kulen-Promtep Wildlife Sanctuary, northern Cambodia","Small carnivore records from Meru Betiri National Park, East Java","0.350877192982456"
"60","Medium and large-sized mammals in a Cerrado area of the state of Goias, Brazil.","Medium- and large-sized mammals in forest remnants of the southern Cerrado: diversity and ecology","0.411764705882353"
