"","Title","Best_Match","Similarity"
"1","Automated Image Recognition for Wildlife Camera Traps: Making it Work for You","Automated audio recording as a means of surveying tinamous (Tinamidae) in the Peruvian Amazon","0.239520958083832"
"2","Zilong: A tool to identify empty images in camera-trap data","Zilong: A tool to identify empty images in camera-trap data","1"
"3","ClassifyMe: A Field-Scouting Software for the Identification of Wildlife in Camera Trap Images","ClassifyMe: A Field-Scouting Software for the Identification of Wildlife in Camera Trap Images","1"
"4","EventFinder: a program for screening remotely captured images","A pervasive assistant for nursing and doctoral staff","0.196428571428571"
"5","A deep active learning system for species identification and counting in camera trap images","A deep active learning system for species identification and counting in camera trap images","1"
"6","Animal Scanner: Software for classifying humans, animals, and empty frames in camera trap images","Animal Scanner: Software for classifying humans, animals, and empty frames in camera trap images","1"
"7","Camera-trap images segmentation using multi-layer robust principal component analysis","Camera Traps Offer a Robust Means for Social Network Analysis in Wild Chimpanzees","0.170731707317073"
"8","Camera-trapping version 3.0: current constraints and future priorities for development","Camera Traps Offer a Robust Means for Social Network Analysis in Wild Chimpanzees","0.182926829268293"
"9","Recognition in terra incognita","Recognition in Terra Incognita","1"
"10","Identifying animal species in camera trap images using deep learning and citizen science","Identifying animal species in camera trap images using deep learning and citizen science","1"
"11","Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning","Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning","1"
"12","Machine learning to classify animal species in camera trap images: Applications in ecology","Machine learning to classify animal species in camera trap images: Applications in ecology","1"
"13","Towards automatic detection of animals in camera-trap images","Towards Automatic Detection of Animals in Camera-Trap Images","1"
"14","Deep learning object detection methods for ecological camera trap data","Deep Learning Object Detection Methods for Ecological Camera Trap Data","1"
"15","Past, present and future approaches using computer vision for animal re-identification from camera trap data","Past, present and future approaches using computer vision for animal re-identification from camera trap data","1"
"16","Towards automatic wild animal monitoring: Identification of animal species in camera-trap images using very deep convolutional neural networks","Towards automatic wild animal monitoring: Identification of animal species in camera-trap images using very deep convolutional neural networks","1"
"17","AnimalFinder: A semi-automated system for animal detection in time-lapse camera trap images","Animal species classification using deep neural networks with noise labels","0.160493827160494"
